id_imagen,timestamp,departamento,provincia,municipio,localidad,recinto,numero_mesa,AP,LYP_ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,MORENA,UNIDAD,PDC,VOTOS_VALIDOS,VOTOS_BLANCOS,VOTOS_NULOS,suma_partidos,diferencia_votos_validos,status_validacion
mesa_5_8004491,2025-08-28T21:11:03.605459,Beni,Vaca Diez,Riberalta,Riberalta,U.E. Nacional Pedro Kramer,8004491,111,161,611,111,116,171,111,111,111,111,111,111,1614,1503,ERROR
mesa_5_1001611,2025-08-28T21:11:04.024319,Chuquisaca,Oropeza,Sucre,Sucre,U.E. Cristina Aitken de Gutierrez,1001611,116,4,1,111,101,111,0,160,10,106,110,101,614,508,ERROR
mesa_3_1000401,2025-08-28T21:11:04.469784,Chuquisaca,Oropeza,Sucre,Sucre,Escuela Daniel Calvo,1000401,111,111,111,111,111,111,111,711,111,111,111,???,1599,1488,ERROR
mesa_1_8011472,2025-08-28T21:11:04.929851,Beni,Yacuma,Exaltación,San Carlos,Esc. San Carlos,8011472,116,166,101,166,180,606,668,111,611,116,161,116,2725,2609,ERROR
mesa_4_8004481,2025-08-28T21:11:05.350982,Beni,Vaca Diez,Riberalta,Riberalta,U.E. Nacional Pedro Kramer,8004481,101,101,117,10,111,167,7,111,101,111,111,611,826,715,ERROR
mesa_2_1003581,2025-08-28T21:11:05.793538,Chuquisaca,Oropeza,Sucre,Sucre,U.E. Franz Tamayo,1003581,116,111,811,118,811,101,611,111,116,118,611,110,2906,2788,ERROR
mesa_3_1005091,2025-08-28T21:11:06.226551,Chuquisaca,Oropeza,Sucre,Sucre,Universidad del Valle UNIVALLE,1005091,101,111,111,11,101,101,111,111,111,111,101,111,869,758,ERROR
mesa_2_1000391,2025-08-28T21:11:06.563821,Chuquisaca,Oropeza,Sucre,Sucre,Escuela Daniel Calvo,1000391,111,111,111,111,111,111,111,117,111,111,111,???,1005,894,ERROR
mesa_1_8011492,2025-08-28T21:11:07.119987,Beni,Yacuma,Exaltación,Rancho Ginebra,Esc. El Motacusal,8011492,10,10,11,161,111,111,111,811,111,181,111,861,1447,1266,ERROR
mesa_3_8004471,2025-08-28T21:11:07.492426,Beni,Vaca Diez,Riberalta,Riberalta,U.E. Nacional Pedro Kramer,8004471,111,116,111,111,111,771,111,161,111,111,111,111,1714,1603,ERROR
mesa_6_1001621,2025-08-28T21:11:07.903658,Chuquisaca,Oropeza,Sucre,Sucre,U.E. Cristina Aitken de Gutierrez,1001621,611,881,101,111,808,616,810,611,871,181,681,811,5420,5239,ERROR
