Mesa_Num,Mesa_ID,Ruta,Estado
5,8004491,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Nacional Pedro Kramer/mesa_5_8004491.jpg,Ya descargado
5,1001611,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Cristina Aitken de Gutierrez/mesa_5_1001611.jpg,Ya descargado
3,1000401,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Escuela Daniel Calvo/mesa_3_1000401.jpg,Ya descargado
1,8011472,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/San Carlos/Esc. San Carlos/mesa_1_8011472.jpg,Ya descargado
4,8004481,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Nacional Pedro Kramer/mesa_4_8004481.jpg,Ya descargado
2,1003581,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Franz Tamayo/mesa_2_1003581.jpg,Ya descargado
3,1005091,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Universidad del Valle UNIVALLE/mesa_3_1005091.jpg,Ya descargado
2,1000391,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Escuela Daniel Calvo/mesa_2_1000391.jpg,Ya descargado
1,8011492,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Rancho Ginebra/Esc. El Motacusal/mesa_1_8011492.jpg,Ya descargado
3,8004471,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Nacional Pedro Kramer/mesa_3_8004471.jpg,Ya descargado
6,1001621,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Cristina Aitken de Gutierrez/mesa_6_1001621.jpg,Ya descargado
1,1000381,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Escuela Daniel Calvo/mesa_1_1000381.jpg,Ya descargado
1,8011522,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Nueva Esperanza/Esc. Nueva Esperanza/mesa_1_8011522.jpg,Ya descargado
2,8004461,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Nacional Pedro Kramer/mesa_2_8004461.jpg,Ya descargado
3,1003591,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Franz Tamayo/mesa_3_1003591.jpg,Ya descargado
24,1003881,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_24_1003881.jpg,Ya descargado
1,8011542,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Las Abras de Yacuma/U.E. Las Abras De Yacuma/mesa_1_8011542.jpg,Ya descargado
1,8004451,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Nacional Pedro Kramer/mesa_1_8004451.jpg,Ya descargado
7,1001631,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Cristina Aitken de Gutierrez/mesa_7_1001631.jpg,Ya descargado
23,1003871,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_23_1003871.jpg,Ya descargado
3,8011451,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Exaltación/Esc. Jose Max Paredes/mesa_3_8011451.jpg,Ya descargado
19,8006421,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_19_8006421.jpg,Ya descargado
4,1003601,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Franz Tamayo/mesa_4_1003601.jpg,Ya descargado
2,1005081,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Universidad del Valle UNIVALLE/mesa_2_1005081.jpg,Ya descargado
22,1003861,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_22_1003861.jpg,Ya descargado
2,8011441,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Exaltación/Esc. Jose Max Paredes/mesa_2_8011441.jpg,Ya descargado
18,8006411,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_18_8006411.jpg,Ya descargado
8,1001641,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Cristina Aitken de Gutierrez/mesa_8_1001641.jpg,Ya descargado
21,1003851,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_21_1003851.jpg,Ya descargado
1,8011431,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Exaltación/Esc. Jose Max Paredes/mesa_1_8011431.jpg,Ya descargado
17,8006401,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_17_8006401.jpg,Ya descargado
