Mesa_Num,Mesa_ID,Ruta,Estado
1,100014,ACTAS/Alemania/Berlín/Embajada/mesa_1_100014.jpg,OK
3,102664,ACTAS/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_3_102664.jpg,OK
2,102654,ACTAS/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_2_102654.jpg,OK
1,102644,ACTAS/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_1_102644.jpg,OK
4,102674,ACTAS/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_4_102674.jpg,OK
5,102684,ACTAS/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_5_102684.jpg,OK
7,102704,ACTAS/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_7_102704.jpg,OK
6,102694,ACTAS/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_6_102694.jpg,OK
1,102714,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_1_102714.jpg,OK
2,102724,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_2_102724.jpg,OK
3,102734,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_3_102734.jpg,OK
4,102744,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_4_102744.jpg,OK
5,102754,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_5_102754.jpg,OK
6,102764,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_6_102764.jpg,OK
7,102774,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_7_102774.jpg,OK
9,102794,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_9_102794.jpg,OK
8,102784,ACTAS/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_8_102784.jpg,OK
2,100714,ACTAS/Argentina/Buenos Aires/Centro Educativo Ns  N° 30  De 8 De Nivel Secundario/mesa_2_100714.jpg,OK
